User Query,Attribute Path,Path Length
Any tips on what I can do to stop people from looking away from me while talking?,"['Emotional State', 'Mental Health Status', 'Age', 'Education Level', 'Health Status']",5
How can I make friends in a new state when I'm exhausted from working 2 jobs?,"['Emotional State', 'Mental Health Status', 'Profession', 'Age']",4
Does anyone have any tips that I could use to maintain better social skills?,"['Emotional State', 'Education Level']",2
"Is there anything I can do to help catch on quicker, or to improve my common sense?","['Education Level', 'Mental Health Status', 'Emotional State']",3
How do I overcome social anxiety of approaching my coursemates?,"['Emotional State', 'Education Level', 'Mental Health Status']",3
What should I choose: move to America for a new life or stay in Brazil to pursue a PhD and become a professor?,"['Education Level', 'Profession', 'Emotional State', 'Economic Status', 'Health Status']",5
Why do I care all of a sudden about being a virgin and wanting a relationship?,"['Emotional State', 'Mental Health Status', 'Past Self-Harm History', 'Marital Status']",4
How can I find my natural voice and stop being self-conscious about it?,"['Emotional State', 'Mental Health Status', 'Education Level']",3
How can adopting a 'yes' mentality improve my life?,['Emotional State'],1
How do you act around people who are +10 years older than you?,"['Age', 'Emotional State', 'Marital Status', 'Education Level', 'Health Status']",5
How can I improve my financial situation and social life?,"['Economic Status', 'Profession', 'Education Level', 'Age']",4
How can I stop feeling lonely and have a birthday where I feel cared for?,"['Emotional State', 'Mental Health Status']",2
How can I feel more valuable and contribute socially on this trip with friends?,"['Emotional State', 'Mental Health Status', 'Profession', 'Marital Status']",4
"Where can I go to refine my social skills with in-person classes, books, and instructors?",['Education Level'],1
How can I improve my social skills as an introvert?,"['Emotional State', 'Education Level', 'Mental Health Status']",3
How can I set myself free from all those negative thoughts about approaching women?,"['Emotional State', 'Mental Health Status', 'Past Self-Harm History', 'Profession']",4
How can I make new friends after moving back home to a town where I know no one?,"['Emotional State', 'Mental Health Status', 'Age', 'Profession']",4
What would be the right way for me to act so I'll learn again to attract people around me and just feel natural around them?,"['Emotional State', 'Mental Health Status', 'Profession', 'Marital Status', 'Age']",5
"How can I overcome my fear of socializing and not freezing up, especially when playing baseball or speaking in class?","['Emotional State', 'Mental Health Status', 'Past Self-Harm History', 'Age']",4
What are some suggestions or tips to become more social?,['Emotional State'],1
How do I meet new people and make friends?,['Emotional State'],1
How can I overcome my inability to build real friendships and feel more socially secure?,"['Emotional State', 'Mental Health Status', 'Past Self-Harm History', 'Age', 'Marital Status']",5
How can I overcome my shyness and improve my social skills to meet people and approach girls?,"['Emotional State', 'Mental Health Status', 'Age', 'Marital Status', 'Education Level']",5
Is there anything I can do to stop feeling intimidated by people easily?,"['Emotional State', 'Mental Health Status', 'Age', 'Profession', 'Past Self-Harm History']",5
"How should I behave on my date at the cinema, and what tips can you give me?","['Emotional State', 'Mental Health Status']",2
How do I handle this type of person?,"['Age', 'Education Level', 'Mental Health Status', 'Emotional State', 'Health Status', 'Profession']",6
How can I improve my friendships with other men without letting my hangups get in the way?,"['Emotional State', 'Past Self-Harm History', 'Mental Health Status', 'Age', 'Profession']",5
How can I make my social skills better for people wanting to spend time with me?,"['Emotional State', 'Profession']",2
Any advice on getting 'me' back?,"['Mental Health Status', 'Past Self-Harm History', 'Emotional State']",3
How should I talk to new people outside of niche communities?,"['Emotional State', 'Age', 'Profession', 'Mental Health Status']",4
How can I enjoy going to night clubs?,"['Age', 'Emotional State', 'Profession', 'Mental Health Status']",4
Does anyone have advice on how to handle being at school alone when I'm struggling with social anxiety and language barriers?,"['Emotional State', 'Mental Health Status']",2
How can I feel less overwhelmed as the new RA and make friends?,"['Emotional State', 'Mental Health Status', 'Profession']",3
What should I do to stay mindful of the progress of relationships in my life?,"['Marital Status', 'Emotional State', 'Mental Health Status']",3
How do I catch up and improve my social maturity?,"['Emotional State', 'Marital Status', 'Age', 'Education Level', 'Profession', 'Mental Health Status']",6
What do I do?,"['Emotional State', 'Mental Health Status', 'Past Self-Harm History', 'Marital Status', 'Age']",5
What tips or advice can you offer to improve socially and form friendships while studying abroad?,['Education Level'],1
"Is there a better alternative to David Carnegie Training that would be affordable to a millennial intern? And if not, where would be the best thing to do to improve my social networking skills?","['Economic Status', 'Profession']",2
What can I do to develop meaningful relationships and improve my social skills as a college student who feels isolated?,"['Education Level', 'Emotional State', 'Marital Status']",3
"How can I cope with feeling awkward and unconfident around others, especially my crush, while going on a group trip abroad?","['Emotional State', 'Mental Health Status']",2
"How can I be more normal in terms of conversation, relationships, music, movies, hobbies, drinking, sports consumption, food, gym, vehicle use, club behavior, politics, everyday habits, and general social interactions?","['Emotional State', 'Mental Health Status']",2
Anything I could do to get over this fear?,"['Emotional State', 'Mental Health Status', 'Past Self-Harm History', 'Age', 'Health Status', 'Profession']",6
How does one introduce yourself to a new school when friend groups are already established?,"['Age', 'Emotional State', 'Profession', 'Education Level', 'Mental Health Status']",5
What do people my age talk about?,"['Emotional State', 'Age', 'Marital Status', 'Profession']",4
"Are there ways to better control, or just completely stop stuttering?","['Health Status', 'Mental Health Status', 'Past Self-Harm History', 'Emotional State', 'Profession', 'Education Level']",6
"How can I come up with a strategy to meet new people and potentially get a girlfriend, considering my social and sensory challenges?","['Emotional State', 'Profession', 'Mental Health Status']",3
How can I be accepted by my coworkers and make genuine friends at work?,"['Emotional State', 'Profession', 'Mental Health Status']",3
Any tips for being less anxious and maybe even saying something to him?,"['Emotional State', 'Mental Health Status']",2
Do you think I'm losing a big part of the awesome life studying can offer?,"['Emotional State', 'Education Level', 'Profession', 'Mental Health Status']",4
How can I branch out and overcome my anxiety to make new friends after losing contact with my best friend?,"['Emotional State', 'Mental Health Status']",2
How can I quickly kickstart my social life when I'm a natural introvert with no social media presence?,"['Age', 'Emotional State', 'Marital Status', 'Profession', 'Mental Health Status', 'Past Self-Harm History', 'Education Level']",7
How can I make genuine friends in college?,"['Age', 'Education Level', 'Profession', 'Emotional State', 'Mental Health Status']",5
What am I missing socially that I need to drastically improve on?,[],0
"What suggestions, tips, or mental exercises can help me improve my social interactions?",['Emotional State'],1
Any advice?,"['Age', 'Emotional State', 'Health Status', 'Profession', 'Past Self-Harm History', 'Mental Health Status']",6
"What are my choices for having a normal social life without drinking, considering my bad experiences with Meetup?","['Past Self-Harm History', 'Emotional State', 'Mental Health Status', 'Age']",4
How can I become a better conversationalist and make friends in my own area?,"['Age', 'Education Level', 'Emotional State', 'Mental Health Status', 'Profession']",5
Anyone else feel the same or similar or am I just super fucking weird?,"['Emotional State', 'Mental Health Status', 'Past Self-Harm History', 'Marital Status', 'Age']",5
Is starting at a new school in another city a good option?,"['Age', 'Emotional State', 'Mental Health Status', 'Profession', 'Education Level']",5
What steps can I take to not become so overwhelmed and enjoy myself when out with people?,"['Emotional State', 'Mental Health Status']",2
Why can't someone ever look at me longer than 2 seconds?,['Emotional State'],1
How can I make new friends as a 20-year-old?,['Emotional State'],1
Any tips to making friends outside of work?,"['Age', 'Emotional State', 'Profession', 'Mental Health Status', 'Marital Status']",5
How can I improve my social life and build friendships after spending years focusing only on academics?,"['Education Level', 'Emotional State', 'Marital Status', 'Mental Health Status']",4
How can I improve my conversation skills and overcome my fear of asking out someone I like?,"['Emotional State', 'Mental Health Status', 'Profession']",3
How can I be more relatable in the workplace and just in general?,"['Profession', 'Emotional State']",2
Is there anyone that can just talk to me? Give me some advice?,"['Emotional State', 'Mental Health Status', 'Age', 'Marital Status', 'Past Self-Harm History']",5
"Where can I go from here to improve my communication skills in general, and are there any useful books or articles that may help?","['Education Level', 'Profession']",2
What should I do about feeling socially awkward and desperate for a relationship?,"['Emotional State', 'Marital Status', 'Past Self-Harm History', 'Age', 'Mental Health Status']",5
How can I become more relevant to people and improve my ability to maintain conversations?,"['Education Level', 'Emotional State', 'Health Status', 'Profession', 'Mental Health Status']",5
How can I improve my self-confidence with girls?,"['Emotional State', 'Mental Health Status', 'Age', 'Profession', 'Past Self-Harm History']",5
What can I do to change the way people see me?,"['Emotional State', 'Profession', 'Mental Health Status', 'Age']",4
How can I talk to girls when I'm scared to look at them?,"['Emotional State', 'Past Self-Harm History', 'Age', 'Mental Health Status', 'Gender']",5
How can I go out and make friends or know what to do when hanging out with them?,"['Emotional State', 'Mental Health Status', 'Profession']",3
Should I talk to my nurse in charge about my concerns of being misinterpreted? How can I beat these negative thoughts?,"['Emotional State', 'Mental Health Status']",2
