User Query,Attribute Path,Path Length
"How can I better manage my limited personal time while balancing work, study, and family responsibilities?",['Marital Status'],1
Where do I start with applying to college and preparing for med school at 24?,[],0
What alternative funding sources are available for a low-income female graduate student in public health?,"['Economic Status', 'Gender']",2
How should I confront my roommate about her behavior?,['Emotional State'],1
What motivates y’all? What keeps you going even when things get really bad? What are some healthy habits I can curate for a better life?,"['Emotional State', 'Mental Health Status']",2
"Is there any way for me to find accurate comparisons of entry-level medical jobs, including wage, work actually done, and demand for the job?",['Education Level'],1
How can I find confidence in my job prospects with a BS in CS when I feel college didn't teach me anything useful?,['Emotional State'],1
Any advice on where to begin writing my scholarship essay?,[],0
Is it normal to be this scared as a senior in college and is getting internships hard for others?,[],0
What should I do? Should I switch degrees or just continue and pursue a master's to become a psychologist?,[],0
Is there anyone else who was in a similar situation and has tips for transferring out of state?,[],0
What are the requirements to graduate with an AA in Art from Weber State University?,[],0
Is it normal for other seniors to experience senioritis like this?,[],0
Should I attend University of Washington and risk $200k debt or choose a more affordable college option?,"['Economic Status', 'Age']",2
How can I pass College Algebra on my third attempt while dealing with my difficulties in focusing and my disability?,['Health Status'],1
"What do you think about going back to college for a computer engineering degree at 38, and experiencing the college life I missed?",[],0
What is a corporate communications course all about?,[],0
What do I do about changing majors and the fear of quitting because it's hard?,[],0
How do I get motivation to do my schoolwork and not procrastinate?,[],0
How do I convince myself I won't regret either dropping out of college with a year left or possibly wasting a year of my life by staying?,[],0
Would it be the best thing for me to take summer classes considering workload and financial aspect?,['Economic Status'],1
How do you go about a medical withdrawal and how would it affect my scholarship if I ended up wanting to return?,[],0
What are my options for discussing a career change with my parents and finding a part-time job?,[],0
How can I explain my dropping grades to my professor without sounding like I'm making excuses?,[],0
How do I go about safely finding roommates when I'm in a commuter college?,['Economic Status'],1
