User Query,Attribute Path,Path Length
Anyone have any suggestions on what I can do about an out-of-network medical bill from a 5-minute visit?,['Economic Status'],1
Should we stop monthly contributions to our Roth IRAs and put that money into our savings so we can invest it as a lump sum at the end of each year?,"['Economic Status', 'Age']",2
What should I do to start paying off my son's medical bills and help him get student loans despite his debt being in collections?,['Economic Status'],1
Is $1M in savings enough for me to chill out and work only jobs I'm passionate about?,['Economic Status'],1
"Can I contribute a smaller amount per month to a Roth IRA and adjust it any time, and are there risks if our income increases?",['Economic Status'],1
What should I be doing now at 20 years old to make money with dropshipping and stock trading?,[],0
"What should I do with the $40,000 from life insurance to ensure I don't waste it?",['Economic Status'],1
Should she take money out of her 401K to help pay for school?,['Economic Status'],1
How do I distribute additional money towards retirement while still keeping flexibility for a future home purchase?,[],0
Would it be better to continue working for my parents' business or seek independence and find a job of my own?,"['Economic Status', 'Education Level']",2
What would be the best thing to do about the medical collection that doesn't appear on the credit report anymore? Should we pay the debt anyways or leave it unpaid?,"['Economic Status', 'Health Status', 'Emotional State', 'Marital Status']",4
"Do I go the traditional route while I have a fairly high debt burden and need more cash in hand, or do the benefits of a roth account still outweigh the negatives?","['Economic Status', 'Age']",2
Is my plan to pay off my credit card debt using a private student loan a terrible idea?,['Economic Status'],1
"What are my options if I cannot afford to pay the $3114 balance to register for the spring semester, and do I have to miss the semester or apply to a different college?","['Economic Status', 'Marital Status', 'Education Level']",3
What is the best course of action for my career decision this week given my three options?,[],0
"Does this financial plan sound financially sound, and what should I adjust or have not accounted for?","['Economic Status', 'Age']",2
How can I save more money without starving myself?,['Economic Status'],1
"Should I max out my company 401k first before my Roth IRA, and what should I invest in?",['Economic Status'],1
"What should I do, if anything, to prepare to move out, and how do I estimate my expenses to create a budget?",['Economic Status'],1
Any advice on how to afford my insurance payments?,['Economic Status'],1
"Can we get guardianship of our wife's cousin's 18-year-old daughter, and what impact will that have on her financial aid status?","['Economic Status', 'Age', 'Education Level']",3
"Is there a simple app she can use that can manage this in isolation? Where she can schedule planned expenses to better understand that even though there is $500 today, she can only spend $100 and still hit her other goals?",['Economic Status'],1
"Is the car loan rate based on the primary person with poor credit, the co-signer with excellent credit, or some combination of the two?",['Economic Status'],1
What are some thoughts or critiques on my first year of tracking our finances and savings?,['Economic Status'],1
Would it be a fiscally sound idea to pursue engineering while making $15/hr with $2k in pocket and $4.4k in debt? Do you believe it would be too hard to juggle both right now so I should wait until the summer to find a different job?,['Economic Status'],1
"Is it okay to spend some of my paycheck, or should I continue saving all of it?","['Economic Status', 'Education Level']",2
Is it a stupid idea to let my 401k loans hit as a withdrawal and pay the penalty?,[],0
How do people afford nursing homes if they cost 10-15K a month?,"['Economic Status', 'Health Status']",2
Can I file my own taxes or should my mom claim me as a dependent?,[],0
How can I leave New Jersey and relocate to California with limited resources and no driver's license?,"['Economic Status', 'Profession']",2
What should I do with my weekly paychecks with my current situation?,['Economic Status'],1
Should I use my savings on dental work instead of buying the car?,"['Economic Status', 'Health Status', 'Profession']",3
"Will I have to provide the bank statements from my checking account instead, and would it be worth it to add my husband on the loan if my income and information alone isn't enough?",[],0
How can I invest the $50-$200 I get from gigs to generate returns in the short to medium term?,['Economic Status'],1
Is there anything in particular that I need to know prior to this call with Prudential about my life insurance policy?,[],0
Should I quit my job and what possible options do I have?,"['Economic Status', 'Emotional State']",2
Is it worth getting a Variable Universal Life insurance policy for our kids?,[],0
Should I prioritize saving for a new laptop or opening a savings account as an emergency fund?,"['Economic Status', 'Education Level']",2
What can I do to start making steps in the direction of financial freedom? How do I handle the late fees and interest?,['Economic Status'],1
