User Query,Attribute Path,Path Length
What direction should I go with my business?,[],0
What are some possible career paths for an extreme introvert with a degree in English and Communication?,"['Profession', 'Emotional State']",2
What should I do if I want to get my life back and start a career?,[],0
How should I approach the situation regarding my salary increase and potential promotion at my current company?,[],0
How do I best navigate the transition into software engineering?,[],0
How do I decide on a main career path?,[],0
How do I decide if I should stay with my current company or look elsewhere/go back to school/etc.?,"['Profession', 'Economic Status']",2
What should I do if I don't have a plan or vision for what career to pursue?,"['Education Level', 'Emotional State']",2
Is a certificate good enough for surgery tech or should I dedicate to the AAS? Does anyone have experience going from stay at home mom to career driven?,['Education Level'],1
What certificates or what kind of education can I go for that will have a payoff to it?,['Education Level'],1
"Should I slog it out for 3 years to attempt to increase the chance of myself getting into my dream job, or should I opt for better work-life balance but risk not getting my dream job?",['Economic Status'],1
What should I do career-wise if I have no idea what I want to do?,[],0
Should I quit my job in my field and passion to pursue something with higher pay and hopes of eventually returning to my field of passion?,['Economic Status'],1
Is a long commute worth the better lifestyle?,"['Economic Status', 'Profession']",2
Are there any jobs that are the same as special needs support but that bring in more money?,[],0
What career paths (that wouldn't require another ten years in school) have good salary potential these days?,[],0
"Do I actually hate my job, or does everybody feel this way?",['Emotional State'],1
"Would an internship be fruitful for me to try and acquire at this time, and would anyone even take me?",[],0
What should I study to become a functional junior developer in 1 year?,[],0
"How can I help my wife find a full-time CT Tech or X-Ray Tech job at a medical clinic with normal, weekday hours and benefits?",[],0
Are there any careers at the intersection of Creative Marketing and Data Science?,[],0
"What career or life advice can you offer to help me find stability and possibly a new career, considering my interests in natural health, animals, and art?",[],0
"Should I keep working full time while going to school part time despite worsening my depression, or take out personal loans and work less to focus on my education?","['Mental Health Status', 'Economic Status', 'Education Level']",3
"Should I keep working full time while going to school part time and risk worsening burnout and depression, or should I take out personal loans on top of my graduate school loans to focus on completing my program?",[],0
Are there any courses I can take to give me further qualification in video editing (that aren’t degrees)?,['Education Level'],1
